aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
4,273.71,0.03,6.6,22.35,6.38,22.76,63.58,2.09
3,253.68,0.02,5.74,23.6,5.54,19.93,47.27,1.79
3,253.68,0.01,5.44,30.4,5.54,20.35,35.69,1.77
2,283.72,0.02,7.54,27.54,7.87,17.92,33.72,2.15
3,333.79,0.09,10.63,17.17,10.13,23.38,38.21,3.26
4,340.46,0.04,11.82,21.64,10.97,25.87,52.11,3.14
4,480.65,0.18,18.17,13.95,13.95,26.44,45.49,4.81
4,720.98,5.59,21.76,0.64,15.97,36.15,58.67,6.4
4,547.41,0.99,23.65,5.1,17.17,32.86,50.75,3.71
3,280.38,0.2,13.71,12.16,18.36,22.75,40.91,2.44
2,373.84,0.04,14.22,21.82,14.31,17.84,27.61,3.96
2,383.85,0.05,17.31,19.85,15.74,14.23,19.08,4.05
3,440.6,0.02,15.94,23.96,14.9,20.48,31.28,5.19
2,393.87,0.01,14.05,27.18,13.23,19.24,25.98,4.81
3,473.98,0.03,17.48,23.96,13.35,21.11,29.22,5.19
2,410.56,0.02,13.2,24.32,10.73,17.34,25.95,4.37
2,337.12,0.04,16.79,20.56,18.6,19.94,31.58,4.02
3,397.21,0.05,17.82,20.56,18.12,22.38,34.98,4.31
2,387.19,0.01,16.45,29.68,16.21,18.18,25.56,5.38
2,370.5,0.02,14.05,23.96,11.56,12.88,17.71,3.99
2,327.11,0.11,14.4,15.38,12.76,13.66,17.93,3.67
2,333.79,0.11,14.91,14.66,12.04,14.9,23.57,3.01
4,841.14,12.96,27.42,0.01,31.47,45.54,51.23,2.95
1,350.48,0.11,13.71,14.66,12.28,9.52,12.59,2.47
2,383.85,0.03,16.45,22.89,17.17,17.1,24.02,3.04
2,343.8,0.01,14.05,27.9,11.68,13.94,18.15,4.24
3,514.03,0.83,19.36,5.99,13.11,20.18,29.01,6.02
2,433.92,0.23,15.25,12.34,12.88,14.9,23.23,6.21
2,300.41,0.19,15.77,12.7,18.6,15.92,29.7,3.26
2,263.69,0.05,15.42,18.95,21.94,17.45,23.92,2.28
3,403.88,0.01,12.34,26.82,11.68,23.55,34.74,6.46
3,627.52,0.75,21.59,9.12,14.9,23.01,28.63,4.24
5,1708.98,25.93,39.76,0,57.7,97.21,107.75,7.47
5,1281.74,23.69,32.56,0,58.65,72.54,81.04,5.38
2,310.42,0.29,21.94,10.82,36.24,13.76,18.72,1.46
2,290.39,0.12,20.91,15.38,31.95,10.92,14.79,1.84
2,433.92,0.21,15.25,11.36,11.68,15.25,19.09,3.48
2,433.92,0.07,15.25,17.88,12.4,16.92,21.66,3.77
4,714.3,3.91,24.33,1.7,16.21,29.79,38.2,4.81
4,1001.36,7.6,31.19,0.17,18.12,42.65,56.31,5.89
5,1148.22,15.65,48.67,0,90.6,76.97,82.1,2.28
2,467.3,0.82,15.42,5.68,13.47,12.94,15.73,3.48
2,407.22,0.25,19.02,11,12.28,14.29,16.21,2.22
2,527.38,0.32,15.94,9.21,13.83,16.1,18.59,3.33
2,487.33,0.28,13.2,9.74,12.88,17.64,18.92,2.72
5,1842.5,20.56,32.56,0,25.99,104.13,116.89,8.04
5,1108.17,8.61,35.3,0.07,28.37,68.97,76.19,4.69
2,330.45,0.01,18.85,27.54,23.13,12.83,17.06,2.06
2,367.17,0.43,18.68,9.39,19.07,15.6,19.32,2.82
2,453.95,6.31,20.05,0.18,32.9,17.47,23.89,3.71
2,403.88,0.06,12.85,17.7,8.94,15,18.3,2.95
2,547.41,0.27,16.62,10.73,12.04,18.8,22.34,3.52
2,514.03,0.54,18.85,7.87,14.54,19.5,23.13,3.04
3,620.84,6.2,15.08,0.44,15.14,20.55,24.2,3.9
3,587.46,2.12,19.71,3,15.97,20.15,23.11,3.77
4,727.65,9.72,17.82,0.06,17.88,28.62,35.71,4.75
4,741.01,7.49,22.96,0.31,19.07,31.75,45.34,4.69
5,1668.93,37.55,15.42,0,17.64,81.22,102.48,6.78
5,1188.28,18.55,17.31,0.01,15.97,52,61.49,5.83
5,4379.27,123.38,22.62,0,37.67,263.05,309.26,23.05
4,881.2,0,18.51,41.84,16.21,41.24,43.1,2.6
2,427.25,0.23,22.62,11.62,25.75,12.26,13.67,0.93
4,507.36,7.26,25.02,0.02,39.1,30.85,40.05,2.15
5,1428.6,7.49,35.99,0.78,18.6,147.3,176.64,6.27
5,1535.42,31.29,18.68,0,16.93,71.7,88.18,7.66
5,1482.01,23.02,20.22,0.01,14.19,67.41,79.97,5.45
5,3578.19,88.51,22.28,0,41.96,207.31,251.55,29.39
5,1468.66,21.68,33.24,0,18.84,56.05,74.36,7.16
5,4432.68,116.23,27.08,0,37.67,260.04,321.44,23.31
5,6942.75,171.66,39.07,0,45.3,488.78,543.48,18.49
5,881.2,0,22.28,32.54,14.54,75.01,84.63,4.37
4,894.55,0.34,20.56,8.94,11.33,47.74,55.74,4.31
5,2937.32,60.8,21.94,0,22.89,186.8,212.58,13.05
5,1321.79,12.41,31.19,0.1,19.07,83.94,102.76,6.33
5,7049.56,164.51,57.58,0,146.87,470.63,538.28,125.65
5,3471.37,50.52,84.31,0,52.93,252.68,291,39.01
5,3417.97,80.47,50.72,0,78.2,224.08,330.76,103.35
5,3337.86,73.31,62.38,0,82.02,196.66,283.63,118.55
5,2563.48,48.28,54.15,0,23.84,162.72,227.78,39.52
5,2189.64,28.61,33.24,0,23.13,182.08,213.73,14.44
5,801.09,0.04,27.76,31.11,17.64,60.11,86.44,12.67
5,1922.61,24.59,40.1,0,21.22,143.58,239.68,21.53
5,3685,69.74,58.26,0,41.96,232.35,327.36,43.06
5,9826.66,214.58,150.8,0,204.09,696.79,773.86,168.2
4,607.49,0,22.28,49.35,15.97,28.86,39.43,10.13
2,353.81,0,11.31,57.94,10.73,14.61,25.22,5.7
5,974.66,4.81,31.19,1.41,17.64,55.22,88.47,14.06
5,3017.43,51.41,67.17,0,35.76,203.14,254.09,29.89
5,1201.63,2.46,39.41,3.09,20.98,68.52,108.16,22.04
5,1148.22,3.02,36.33,2.73,20.74,85.08,115.65,21.03
5,1121.52,3.13,33.59,2.39,22.17,86.7,124.36,20.52
5,2216.34,38,41.13,0,26.46,149.82,225.24,31.92
5,1201.63,1.59,39.76,9.03,14.9,87.93,119.68,20.52
5,2590.18,37.1,58.95,0,30.99,169.15,222.54,46.61
5,1081.47,0.01,31.53,33.97,18.84,85.25,114.13,20.27
5,687.6,0,18.85,60.8,14.19,50.89,65.39,14.95
5,1054.76,0.13,34.96,19.67,20.5,70.13,95.09,20.77
5,814.44,0,25.36,42.2,17.4,68.07,89.45,17.23
5,847.82,0,26.39,37.19,15.97,71.85,92.14,17.73
5,594.14,0,11.14,107.29,12.64,88,98.29,10.26
5,640.87,0,12.51,85.12,10.85,93.76,104.72,12.16
5,727.65,0,16.45,80.11,13.71,93.06,120.74,12.54
5,700.95,0,16.79,85.83,15.5,90.66,118.33,13.93
5,1068.12,0.01,34.27,34.33,18.84,93.96,126.74,18.75
5,767.71,0,20.91,61.51,13.95,93.84,122.79,15.07
5,761.03,0,18.68,67.23,13.71,99.08,120.77,14.44
5,821.11,0,9.17,125.89,14.07,86.18,97.11,13.05
5,1241.68,0,32.9,62.23,18.6,108.95,125.84,18.49
5,821.11,0,12.34,110.15,15.5,78.45,89.06,14.44
5,761.03,0,10.54,121.59,15.14,74.61,82.42,12.16
5,707.63,0,10.45,107.29,15.5,112,119.7,9.12
5,821.11,0,14.57,55.07,15.97,95.42,98.62,3.26
5,794.41,0,14.22,67.23,16.45,90.54,97.25,9.63
5,694.27,0,8.91,84.4,9.89,111.07,117.41,8.11
5,654.22,0,10.54,81.54,11.32,135.91,144.8,8.04
5,1255.04,0.02,40.78,25.39,18.6,176.2,197.18,12.79
5,1522.06,0.37,54.15,12.7,20.74,126.55,146.96,21.28
5,1708.98,0.68,58.95,10.73,23.6,119.67,145.14,22.8
5,1335.14,0.06,47.3,23.6,16.69,95.53,120.56,17.48
5,1628.88,18.55,38.73,0.02,19.31,134.95,173.78,25.59
5,1094.82,0.41,31.19,10.1,12.87,112.51,140.66,24.07
5,647.54,0,16.79,52.21,12.4,61.97,74.6,13.3
5,500.68,0,11.82,75.1,11.92,58.76,69.23,10.77
5,500.68,0,10.97,83.68,12.87,77.81,86.87,8.11
5,640.87,0,9.17,77.25,10.01,109.07,110.85,2.66
5,514.03,0,12.85,67.95,13.11,58.47,64.22,7.92
5,567.44,0,10.97,72.96,11.56,90.78,97.24,8.36
5,1068.12,0.1,27.08,18.24,11.21,170.19,190.98,7.79
5,1081.47,0.41,34.96,10.91,12.64,136.58,154.15,9.12
5,1108.17,0.91,30.85,17.88,12.52,150.84,172.99,13.05
5,741,0,15.25,65.09,13.11,73.9,84.08,11.78
5,841.14,0.01,23.99,31.47,13.59,75.99,92.8,16.47
5,867.84,0.01,25.36,34.69,13.59,83.13,100.91,17.23
5,934.6,0.11,30.5,18.78,13.47,86.95,108.24,18.49
5,700.95,0,16.62,48.64,10.25,75.12,87.3,14.19
5,707.63,0,18.68,55.07,11.56,79.25,92.89,13.93
